rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.4,32,16,0.8229166875,0.1770833125,16,0.34,0.843436,0.953987
0.4,128,4,0.9895833125,0.0104166875,16,0.34,0.843436,0.953987
0.4,128,6,0.5729168124999999,0.42708318749999996,16,0.34,0.843436,0.953987
0.4,128,8,0.31250006249999995,0.6874999374999999,16,0.34,0.843436,0.953987
0.4,128,12,0.09375,0.90625,16,0.34,0.843436,0.953987
0.4,128,16,0.0520834375,0.9479165625,16,0.34,0.843436,0.953987
0.4,512,4,0.89583325,0.10416675,16,0.34,0.843436,0.953987
0.4,512,6,0.40625006249999995,0.5937499374999999,16,0.34,0.843436,0.953987
0.4,512,8,0.2500000625,0.7499999375,16,0.34,0.843436,0.953987
0.4,512,12,0.10416675,0.89583325,16,0.34,0.843436,0.953987
0.4,512,16,0.0833333125,0.9166666875,16,0.34,0.843436,0.953987
0.4,2048,4,0.92708325,0.07291675,16,0.34,0.843436,0.953987
0.4,2048,6,0.36458349999999995,0.6354165,16,0.34,0.843436,0.953987
0.4,2048,8,0.28125018749999997,0.7187498125,16,0.34,0.843436,0.953987
0.4,2048,12,0.0625,0.9375,16,0.34,0.843436,0.953987
0.4,2048,16,0.083333375,0.916666625,16,0.34,0.843436,0.953987
0.5,8,4,0.9895833125,0.0104166875,16,0.425,0.8067,0.853272
0.5,8,6,1.0,0.0,16,0.425,0.8067,0.853272
0.5,8,8,0.9375,0.0625,16,0.425,0.8067,0.853272
0.5,8,12,1.0,0.0,16,0.425,0.8067,0.853272
0.5,8,16,0.96875,0.03125,16,0.425,0.8067,0.853272
0.5,32,4,1.0,0.0,16,0.425,0.8067,0.853272
0.5,32,6,0.9166666875,0.0833333125,16,0.425,0.8067,0.853272
0.5,32,8,0.8437500625,0.1562499375,16,0.425,0.8067,0.853272
0.5,32,12,0.8124999375,0.1875000625,16,0.425,0.8067,0.853272
0.5,32,16,0.614583375,0.385416625,16,0.425,0.8067,0.853272
0.5,128,4,0.9375,0.0625,16,0.425,0.8067,0.853272
0.5,128,6,0.583333375,0.416666625,16,0.425,0.8067,0.853272
0.5,128,8,0.1875000625,0.8124999375,16,0.425,0.8067,0.853272
0.5,128,12,0.09374993749999999,0.9062500625000001,16,0.425,0.8067,0.853272
0.5,128,16,0.1354166875,0.8645833125,16,0.425,0.8067,0.853272
0.5,512,4,0.90625,0.09375,16,0.425,0.8067,0.853272
0.5,512,6,0.37500018749999997,0.6249998125,16,0.425,0.8067,0.853272
0.5,512,8,0.2604168125,0.7395831875000001,16,0.425,0.8067,0.853272
0.5,512,12,0.0729166875,0.9270833125,16,0.425,0.8067,0.853272
0.5,512,16,0.09375006250000001,0.9062499375,16,0.425,0.8067,0.853272
0.5,2048,4,0.9270833125,0.0729166875,16,0.425,0.8067,0.853272
0.5,2048,6,0.3645835,0.6354165,16,0.425,0.8067,0.853272
0.5,2048,8,0.239583375,0.7604166250000001,16,0.425,0.8067,0.853272
0.5,2048,12,0.07291675,0.9270832499999999,16,0.425,0.8067,0.853272
0.5,2048,16,0.1041666875,0.8958333125,16,0.425,0.8067,0.853272
0.6,8,4,1.0,0.0,16,0.51,0.770893,0.778927
0.6,8,6,0.9895833125,0.0104166875,16,0.51,0.770893,0.778927
0.6,8,8,0.9166666875,0.0833333125,16,0.51,0.770893,0.778927
0.6,8,12,0.927083375,0.072916625,16,0.51,0.770893,0.778927
0.6,8,16,0.9895833125,0.0104166875,16,0.51,0.770893,0.778927
0.6,32,4,0.9895833125,0.0104166875,16,0.51,0.770893,0.778927
0.6,32,6,1.0,0.0,16,0.51,0.770893,0.778927
0.6,32,8,0.7812501249999999,0.21874987499999998,16,0.51,0.770893,0.778927
0.6,32,12,0.6979166875,0.3020833125,16,0.51,0.770893,0.778927
0.6,32,16,0.645833375,0.35416662499999996,16,0.51,0.770893,0.778927
0.6,128,4,0.979166625,0.020833375,16,0.51,0.770893,0.778927
