rho,mu_p,char_height_px,font_name,text,phase_x,phase_y,qe_total,aperture_width_px,mtf_nyquist,aperture_f50_cpp,ocr_text,cer,char_acc
0.3,32,4,arial.ttf,999NG7,15,0,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,32,4,arial.ttf,999NG7,15,0,0.34,10.119289,0.843436,0.953987,,1.0,0.0
0.5,32,4,arial.ttf,999NG7,15,0,0.425,11.313708,0.8067,0.853272,,1.0,0.0
0.6,32,4,arial.ttf,999NG7,15,0,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,32,4,arial.ttf,999NG7,15,0,0.595,13.38656,0.735998,0.721147,,1.0,0.0
0.8,32,4,arial.ttf,999NG7,15,0,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,32,4,arial.ttf,999NG7,15,0,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,32,4,arial.ttf,999NG7,15,0,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,128,4,arial.ttf,999NG7,15,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,128,4,arial.ttf,999NG7,15,0,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,128,4,arial.ttf,999NG7,15,0,0.255,8.763561,0.881116,1.10157,C,1.0,0.0
0.4,128,4,arial.ttf,999NG7,15,0,0.34,10.119289,0.843436,0.953987,,1.0,0.0
0.5,128,4,arial.ttf,999NG7,15,0,0.425,11.313708,0.8067,0.853272,RNG,0.666667,0.333333
0.6,128,4,arial.ttf,999NG7,15,0,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,128,4,arial.ttf,999NG7,15,0,0.595,13.38656,0.735998,0.721147,,1.0,0.0
0.8,128,4,arial.ttf,999NG7,15,0,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,128,4,arial.ttf,999NG7,15,0,0.765,15.178933,0.668877,0.635992,ONG,0.666667,0.333333
1.0,128,4,arial.ttf,999NG7,15,0,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,512,4,arial.ttf,999NG7,15,0,0.085,5.059644,0.959381,1.907975,Y,1.0,0.0
0.2,512,4,arial.ttf,999NG7,15,0,0.17,7.155418,0.919759,1.349142,GY,0.833333,0.166667
0.3,512,4,arial.ttf,999NG7,15,0,0.255,8.763561,0.881116,1.10157,YAAGT,0.833333,0.166667
0.4,512,4,arial.ttf,999NG7,15,0,0.34,10.119289,0.843436,0.953987,GT,0.833333,0.166667
0.5,512,4,arial.ttf,999NG7,15,0,0.425,11.313708,0.8067,0.853272,CT,1.0,0.0
0.6,512,4,arial.ttf,999NG7,15,0,0.51,12.393547,0.770893,0.778927,T,1.0,0.0
0.7,512,4,arial.ttf,999NG7,15,0,0.595,13.38656,0.735998,0.721147,AGT,0.833333,0.166667
0.8,512,4,arial.ttf,999NG7,15,0,0.68,14.310835,0.701998,0.674571,ST,1.0,0.0
0.9,512,4,arial.ttf,999NG7,15,0,0.765,15.178933,0.668877,0.635992,SOONGT,0.666667,0.333333
1.0,512,4,arial.ttf,999NG7,15,0,0.85,16.0,0.63662,0.603355,ONT,0.833333,0.166667
0.1,2048,4,arial.ttf,999NG7,15,0,0.085,5.059644,0.959381,1.907975,444GT,0.833333,0.166667
0.2,2048,4,arial.ttf,999NG7,15,0,0.17,7.155418,0.919759,1.349142,YAGT,0.833333,0.166667
0.3,2048,4,arial.ttf,999NG7,15,0,0.255,8.763561,0.881116,1.10157,YAAGT,0.833333,0.166667
0.4,2048,4,arial.ttf,999NG7,15,0,0.34,10.119289,0.843436,0.953987,AGT,0.833333,0.166667
0.5,2048,4,arial.ttf,999NG7,15,0,0.425,11.313708,0.8067,0.853272,WAAGT,0.833333,0.166667
0.6,2048,4,arial.ttf,999NG7,15,0,0.51,12.393547,0.770893,0.778927,AGT,0.833333,0.166667
0.7,2048,4,arial.ttf,999NG7,15,0,0.595,13.38656,0.735998,0.721147,CT,1.0,0.0
0.8,2048,4,arial.ttf,999NG7,15,0,0.68,14.310835,0.701998,0.674571,ONGT,0.666667,0.333333
0.9,2048,4,arial.ttf,999NG7,15,0,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,2048,4,arial.ttf,999NG7,15,0,0.85,16.0,0.63662,0.603355,ST,1.0,0.0
0.1,8,4,arial.ttf,999NG7,15,15,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,8,4,arial.ttf,999NG7,15,15,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,8,4,arial.ttf,999NG7,15,15,0.255,8.763561,0.881116,1.10157,BS,1.0,0.0
0.4,8,4,arial.ttf,999NG7,15,15,0.34,10.119289,0.843436,0.953987,,1.0,0.0
0.5,8,4,arial.ttf,999NG7,15,15,0.425,11.313708,0.8067,0.853272,,1.0,0.0
0.6,8,4,arial.ttf,999NG7,15,15,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,8,4,arial.ttf,999NG7,15,15,0.595,13.38656,0.735998,0.721147,,1.0,0.0
0.8,8,4,arial.ttf,999NG7,15,15,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,8,4,arial.ttf,999NG7,15,15,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,8,4,arial.ttf,999NG7,15,15,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,32,4,arial.ttf,999NG7,15,15,0.085,5.059644,0.959381,1.907975,NG,0.666667,0.333333
0.2,32,4,arial.ttf,999NG7,15,15,0.17,7.155418,0.919759,1.349142,BT,1.0,0.0
0.3,32,4,arial.ttf,999NG7,15,15,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,32,4,arial.ttf,999NG7,15,15,0.34,10.119289,0.843436,0.953987,,1.0,0.0
0.5,32,4,arial.ttf,999NG7,15,15,0.425,11.313708,0.8067,0.853272,,1.0,0.0
0.6,32,4,arial.ttf,999NG7,15,15,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,32,4,arial.ttf,999NG7,15,15,0.595,13.38656,0.735998,0.721147,,1.0,0.0
0.8,32,4,arial.ttf,999NG7,15,15,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,32,4,arial.ttf,999NG7,15,15,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,32,4,arial.ttf,999NG7,15,15,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,128,4,arial.ttf,999NG7,15,15,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,128,4,arial.ttf,999NG7,15,15,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,128,4,arial.ttf,999NG7,15,15,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,128,4,arial.ttf,999NG7,15,15,0.34,10.119289,0.843436,0.953987,,1.0,0.0
0.5,128,4,arial.ttf,999NG7,15,15,0.425,11.313708,0.8067,0.853272,,1.0,0.0
0.6,128,4,arial.ttf,999NG7,15,15,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,128,4,arial.ttf,999NG7,15,15,0.595,13.38656,0.735998,0.721147,FT,1.0,0.0
0.8,128,4,arial.ttf,999NG7,15,15,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,128,4,arial.ttf,999NG7,15,15,0.765,15.178933,0.668877,0.635992,SOIT,1.0,0.0
1.0,128,4,arial.ttf,999NG7,15,15,0.85,16.0,0.63662,0.603355,EAGT,0.833333,0.166667
0.1,512,4,arial.ttf,999NG7,15,15,0.085,5.059644,0.959381,1.907975,UAG,0.833333,0.166667
0.2,512,4,arial.ttf,999NG7,15,15,0.17,7.155418,0.919759,1.349142,YAAOY,1.0,0.0
0.3,512,4,arial.ttf,999NG7,15,15,0.255,8.763561,0.881116,1.10157,YARCY,1.0,0.0
0.4,512,4,arial.ttf,999NG7,15,15,0.34,10.119289,0.843436,0.953987,SLAGT,0.833333,0.166667
0.5,512,4,arial.ttf,999NG7,15,15,0.425,11.313708,0.8067,0.853272,FAA,1.0,0.0
0.6,512,4,arial.ttf,999NG7,15,15,0.51,12.393547,0.770893,0.778927,IF,1.0,0.0
0.7,512,4,arial.ttf,999NG7,15,15,0.595,13.38656,0.735998,0.721147,ZANT,0.833333,0.166667
0.8,512,4,arial.ttf,999NG7,15,15,0.68,14.310835,0.701998,0.674571,GT,0.833333,0.166667
0.9,512,4,arial.ttf,999NG7,15,15,0.765,15.178933,0.668877,0.635992,WT,1.0,0.0
1.0,512,4,arial.ttf,999NG7,15,15,0.85,16.0,0.63662,0.603355,NT,0.833333,0.166667
0.1,2048,4,arial.ttf,999NG7,15,15,0.085,5.059644,0.959381,1.907975,UO,1.0,0.0
0.2,2048,4,arial.ttf,999NG7,15,15,0.17,7.155418,0.919759,1.349142,YAAY,1.0,0.0
0.3,2048,4,arial.ttf,999NG7,15,15,0.255,8.763561,0.881116,1.10157,YAY,1.0,0.0
0.4,2048,4,arial.ttf,999NG7,15,15,0.34,10.119289,0.843436,0.953987,TPAGT,0.833333,0.166667
0.5,2048,4,arial.ttf,999NG7,15,15,0.425,11.313708,0.8067,0.853272,YAY,1.0,0.0
0.6,2048,4,arial.ttf,999NG7,15,15,0.51,12.393547,0.770893,0.778927,PFAGT,0.833333,0.166667
0.7,2048,4,arial.ttf,999NG7,15,15,0.595,13.38656,0.735998,0.721147,FACT,1.0,0.0
0.8,2048,4,arial.ttf,999NG7,15,15,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,2048,4,arial.ttf,999NG7,15,15,0.765,15.178933,0.668877,0.635992,OONGT,0.666667,0.333333
1.0,2048,4,arial.ttf,999NG7,15,15,0.85,16.0,0.63662,0.603355,SOONGT,0.666667,0.333333
0.1,8,4,arial.ttf,DJELTE,0,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,8,4,arial.ttf,DJELTE,0,0,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,8,4,arial.ttf,DJELTE,0,0,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,8,4,arial.ttf,DJELTE,0,0,0.34,10.119289,0.843436,0.953987,,1.0,0.0
0.5,8,4,arial.ttf,DJELTE,0,0,0.425,11.313708,0.8067,0.853272,,1.0,0.0
0.6,8,4,arial.ttf,DJELTE,0,0,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,8,4,arial.ttf,DJELTE,0,0,0.595,13.38656,0.735998,0.721147,,1.0,0.0
0.8,8,4,arial.ttf,DJELTE,0,0,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,8,4,arial.ttf,DJELTE,0,0,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,8,4,arial.ttf,DJELTE,0,0,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,32,4,arial.ttf,DJELTE,0,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,32,4,arial.ttf,DJELTE,0,0,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,32,4,arial.ttf,DJELTE,0,0,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,32,4,arial.ttf,DJELTE,0,0,0.34,10.119289,0.843436,0.953987,AR,1.0,0.0
0.5,32,4,arial.ttf,DJELTE,0,0,0.425,11.313708,0.8067,0.853272,,1.0,0.0
0.6,32,4,arial.ttf,DJELTE,0,0,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,32,4,arial.ttf,DJELTE,0,0,0.595,13.38656,0.735998,0.721147,,1.0,0.0
0.8,32,4,arial.ttf,DJELTE,0,0,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,32,4,arial.ttf,DJELTE,0,0,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,32,4,arial.ttf,DJELTE,0,0,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,128,4,arial.ttf,DJELTE,0,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,128,4,arial.ttf,DJELTE,0,0,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,128,4,arial.ttf,DJELTE,0,0,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,128,4,arial.ttf,DJELTE,0,0,0.34,10.119289,0.843436,0.953987,,1.0,0.0
0.5,128,4,arial.ttf,DJELTE,0,0,0.425,11.313708,0.8067,0.853272,,1.0,0.0
0.6,128,4,arial.ttf,DJELTE,0,0,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,128,4,arial.ttf,DJELTE,0,0,0.595,13.38656,0.735998,0.721147,OUT,0.833333,0.166667
0.8,128,4,arial.ttf,DJELTE,0,0,0.68,14.310835,0.701998,0.674571,OUETS,0.666667,0.333333
0.9,128,4,arial.ttf,DJELTE,0,0,0.765,15.178933,0.668877,0.635992,,1.0,0.0
1.0,128,4,arial.ttf,DJELTE,0,0,0.85,16.0,0.63662,0.603355,ET,0.666667,0.333333
0.1,512,4,arial.ttf,DJELTE,0,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,512,4,arial.ttf,DJELTE,0,0,0.17,7.155418,0.919759,1.349142,OUT2,0.833333,0.166667
0.3,512,4,arial.ttf,DJELTE,0,0,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,512,4,arial.ttf,DJELTE,0,0,0.34,10.119289,0.843436,0.953987,DOTS,0.666667,0.333333
0.5,512,4,arial.ttf,DJELTE,0,0,0.425,11.313708,0.8067,0.853272,001C,1.0,0.0
0.6,512,4,arial.ttf,DJELTE,0,0,0.51,12.393547,0.770893,0.778927,O1,1.0,0.0
0.7,512,4,arial.ttf,DJELTE,0,0,0.595,13.38656,0.735998,0.721147,OTS,0.833333,0.166667
0.8,512,4,arial.ttf,DJELTE,0,0,0.68,14.310835,0.701998,0.674571,OJOLTS,0.5,0.5
0.9,512,4,arial.ttf,DJELTE,0,0,0.765,15.178933,0.668877,0.635992,OLTS,0.666667,0.333333
1.0,512,4,arial.ttf,DJELTE,0,0,0.85,16.0,0.63662,0.603355,OJELTS,0.333333,0.666667
0.1,2048,4,arial.ttf,DJELTE,0,0,0.085,5.059644,0.959381,1.907975,OCT,0.833333,0.166667
0.2,2048,4,arial.ttf,DJELTE,0,0,0.17,7.155418,0.919759,1.349142,O01S,1.0,0.0
0.3,2048,4,arial.ttf,DJELTE,0,0,0.255,8.763561,0.881116,1.10157,OOT,0.833333,0.166667
0.4,2048,4,arial.ttf,DJELTE,0,0,0.34,10.119289,0.843436,0.953987,O01C,1.0,0.0
0.5,2048,4,arial.ttf,DJELTE,0,0,0.425,11.313708,0.8067,0.853272,O0LT,0.666667,0.333333
0.6,2048,4,arial.ttf,DJELTE,0,0,0.51,12.393547,0.770893,0.778927,O0TC,0.833333,0.166667
0.7,2048,4,arial.ttf,DJELTE,0,0,0.595,13.38656,0.735998,0.721147,OOLT,0.666667,0.333333
0.8,2048,4,arial.ttf,DJELTE,0,0,0.68,14.310835,0.701998,0.674571,O0TC,0.833333,0.166667
0.9,2048,4,arial.ttf,DJELTE,0,0,0.765,15.178933,0.668877,0.635992,OLS,0.833333,0.166667
1.0,2048,4,arial.ttf,DJELTE,0,0,0.85,16.0,0.63662,0.603355,OJOLTS,0.5,0.5
0.1,8,4,arial.ttf,DJELTE,0,15,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,8,4,arial.ttf,DJELTE,0,15,0.17,7.155418,0.919759,1.349142,AES,0.833333,0.166667
