rho,mu_p,char_height_px,font_name,text,phase_x,phase_y,noise_repeat,qe_total,aperture_width_px,mtf_nyquist,aperture_f50_cpp,ocr_text,cer,char_acc,preview_relpath
0.1,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.085,5.059644,0.959381,1.907975,,1.0,0.0,point_previews/task000001_mu000016_rho010_n1.png
0.2,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.17,7.155418,0.919759,1.349142,23245FBCHR4RST3TSFFAM4,0.848485,0.151515,point_previews/task000001_mu000016_rho020_n0.png
0.2,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.17,7.155418,0.919759,1.349142,REASDEAEYURERRQEMSSTRETAGE,0.848485,0.151515,point_previews/task000001_mu000016_rho020_n1.png
0.3,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.255,8.763561,0.881116,1.10157,SRAGTWERSARTURNZLAVESSLQTGREVMGE,0.636364,0.363636,point_previews/task000001_mu000016_rho030_n0.png
0.3,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.255,8.763561,0.881116,1.10157,CBAGTUPDSATHRWZEATESPSLRSPS,0.666667,0.333333,point_previews/task000001_mu000016_rho030_n1.png
0.4,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.34,10.119289,0.843436,0.953987,,1.0,0.0,point_previews/task000001_mu000016_rho040_n0.png
0.4,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.34,10.119289,0.843436,0.953987,CEAGUNERGYKTURNZEATEHSESTSKRVMGS,0.575758,0.424242,point_previews/task000001_mu000016_rho040_n1.png
0.5,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.425,11.313708,0.8067,0.853272,NCBEGJWEDAYRTGRNZCAFESHSUSTSHENMG2,0.515152,0.484848,point_previews/task000001_mu000016_rho050_n0.png
0.5,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.425,11.313708,0.8067,0.853272,,1.0,0.0,point_previews/task000001_mu000016_rho050_n1.png
0.6,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.51,12.393547,0.770893,0.778927,,1.0,0.0,point_previews/task000001_mu000016_rho060_n0.png
0.6,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.51,12.393547,0.770893,0.778927,,1.0,0.0,point_previews/task000001_mu000016_rho060_n1.png
0.7,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.595,13.38656,0.735998,0.721147,EBAGJVEDSYXTURNZAFESHSUBTSKEVMB2,0.424242,0.575758,point_previews/task000001_mu000016_rho070_n0.png
0.7,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.595,13.38656,0.735998,0.721147,CBAGVPDEYXTURNZASESHSUSTSKFYBR2,0.424242,0.575758,point_previews/task000001_mu000016_rho070_n1.png
0.8,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.68,14.310835,0.701998,0.674571,,1.0,0.0,point_previews/task000001_mu000016_rho080_n0.png
0.8,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.68,14.310835,0.701998,0.674571,,1.0,0.0,point_previews/task000001_mu000016_rho080_n1.png
0.9,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.765,15.178933,0.668877,0.635992,,1.0,0.0,point_previews/task000001_mu000016_rho090_n0.png
0.9,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.765,15.178933,0.668877,0.635992,,1.0,0.0,point_previews/task000001_mu000016_rho090_n1.png
1.0,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.85,16.0,0.63662,0.603355,,1.0,0.0,point_previews/task000001_mu000016_rho100_n0.png
1.0,16,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.85,16.0,0.63662,0.603355,,1.0,0.0,point_previews/task000001_mu000016_rho100_n1.png
0.1,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.085,5.059644,0.959381,1.907975,CBAGJNEDAYATRMEASESHSU875KFYMEE,0.424242,0.575758,point_previews/task000002_mu000064_rho010_n0.png
0.1,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.085,5.059644,0.959381,1.907975,EBABAWEDETXTURRZEAPESHSUSTSKEVARD,0.575758,0.424242,point_previews/task000002_mu000064_rho010_n1.png
0.2,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.17,7.155418,0.919759,1.349142,,1.0,0.0,point_previews/task000002_mu000064_rho020_n0.png
0.2,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.17,7.155418,0.919759,1.349142,CBAGJWPEDSYATERNZLAPESASUBTSKFVMG2,0.363636,0.636364,point_previews/task000002_mu000064_rho020_n1.png
0.3,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.255,8.763561,0.881116,1.10157,EBAGJWEDEYXTURNZLGPESHSUSTSKFVMG2,0.333333,0.666667,point_previews/task000002_mu000064_rho030_n0.png
0.3,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.255,8.763561,0.881116,1.10157,,1.0,0.0,point_previews/task000002_mu000064_rho030_n1.png
0.4,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.34,10.119289,0.843436,0.953987,CBAGJWPD6YXTRNZLAPESHSUBTSKFEVMQ2,0.242424,0.757576,point_previews/task000002_mu000064_rho040_n0.png
0.4,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.34,10.119289,0.843436,0.953987,CBAGJWPD6YXTRNZL49ESHSUS7SKFYMQG2,0.181818,0.818182,point_previews/task000002_mu000064_rho040_n1.png
0.5,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.425,11.313708,0.8067,0.853272,CBAGJWPD6YXTGRNZLAPESHSUBTSKEVMG2,0.272727,0.727273,point_previews/task000002_mu000064_rho050_n0.png
0.5,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.425,11.313708,0.8067,0.853272,CBAGJWPD6YXTURNZLAPESHSUS7SKFVMG2,0.212121,0.787879,point_previews/task000002_mu000064_rho050_n1.png
0.6,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.51,12.393547,0.770893,0.778927,CBAGJWPD6YXTGRNZL49E3HSU87SKFYMQ2,0.090909,0.909091,point_previews/task000002_mu000064_rho060_n0.png
0.6,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.51,12.393547,0.770893,0.778927,CBAGJWPDSYXTURNZL4PESHSUSTSKFYMG2,0.272727,0.727273,point_previews/task000002_mu000064_rho060_n1.png
0.7,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.595,13.38656,0.735998,0.721147,CBAGJWPD6YXTRNZL49E3HSU875KFYMQ2,0.060606,0.939394,point_previews/task000002_mu000064_rho070_n0.png
0.7,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.595,13.38656,0.735998,0.721147,CBAGJWPD6YXTURNZL4PESHSUB7SKFVMG2,0.181818,0.818182,point_previews/task000002_mu000064_rho070_n1.png
0.8,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.68,14.310835,0.701998,0.674571,CBAGJWPD6YXTRNZL4PESHSUBTSKFYMG2,0.242424,0.757576,point_previews/task000002_mu000064_rho080_n0.png
0.8,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.68,14.310835,0.701998,0.674571,CBAGJWPD6YXTURNZLAVE3HSUB7SKFVMG2,0.181818,0.818182,point_previews/task000002_mu000064_rho080_n1.png
0.9,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.765,15.178933,0.668877,0.635992,CBAGJWPD6YXT0RNZLG9ESHSUB7SKFVMQ2,0.121212,0.878788,point_previews/task000002_mu000064_rho090_n0.png
0.9,64,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.765,15.178933,0.668877,0.635992,CBAGJWPD6YXT0RNZLA9ESHSUS7SKFVMQ2,0.121212,0.878788,point_previews/task000002_mu000064_rho090_n1.png
