rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.8,64,8,0.17999982000000003,0.82000018,50,0.68,0.701998,0.674571
0.9,4,8,0.88363648,0.11636352,50,0.765,0.668877,0.635992
0.9,6,8,0.8109092800000001,0.18909072000000002,50,0.765,0.668877,0.635992
0.9,8,8,0.7157578399999999,0.28424216,50,0.765,0.668877,0.635992
0.9,11,8,0.7054546199999998,0.29454537999999997,50,0.765,0.668877,0.635992
0.9,16,8,0.61757554,0.38242446,50,0.765,0.668877,0.635992
0.9,23,8,0.5339391800000001,0.46606082,50,0.765,0.668877,0.635992
0.9,32,8,0.27696944,0.72303056,50,0.765,0.668877,0.635992
0.9,45,8,0.22303008,0.77696992,50,0.765,0.668877,0.635992
0.9,64,8,0.16787862,0.8321213799999998,50,0.765,0.668877,0.635992
1.0,4,8,0.87515164,0.12484836000000002,50,0.85,0.63662,0.603355
1.0,6,8,0.7672729599999998,0.23272703999999997,50,0.85,0.63662,0.603355
1.0,8,8,0.71393964,0.28606036,50,0.85,0.63662,0.603355
1.0,11,8,0.6963636400000002,0.30363636,50,0.85,0.63662,0.603355
1.0,16,8,0.66606042,0.33393957999999996,50,0.85,0.63662,0.603355
1.0,23,8,0.5999998200000001,0.40000018000000004,50,0.85,0.63662,0.603355
1.0,32,8,0.28545430000000005,0.7145456999999997,50,0.85,0.63662,0.603355
1.0,45,8,0.20787858,0.7921214199999999,50,0.85,0.63662,0.603355
1.0,64,8,0.16181802,0.83818198,50,0.85,0.63662,0.603355
