char_height_px,4,5,6,7,8,10,11,13,16,19,23,27,32,38,45,54,64,76,91,108,128,152,181,215,256
8,0.01697,0.02,0.049091,0.053939,0.04303,0.08,0.074545,0.06,0.085455,0.091515,0.092121,0.096364,0.133333,0.139394,0.118182,0.150303,0.152727,0.156364,0.116364,0.132727,0.107879,0.061212,0.036364,0.195152,0.089091
