base_mu_p,rho,char_height_px,n_pairs,paired_cov_char_acc,paired_corr_char_acc,paired_mean_delta,paired_std_delta,paired_win_rate,paired_tie_rate
45,0.7,8,50,0.0007222488881400001,0.24986952320954894,0.023030280000000004,0.06694151498076513,0.5,0.18
45,0.8,8,50,0.0005247267480000004,0.16443527046344764,0.01999998,0.0731101329366867,0.62,0.06
45,0.9,8,50,-8.995297127142908e-05,-0.014103005437559279,-0.023636360000000006,0.1351439797672732,0.4,0.14
45,1.0,8,50,0.0003455700440399994,0.10647717293594436,-0.007878780000000005,0.07617318044049365,0.42,0.08
54,0.1,8,50,-0.0016603907205600002,-0.1425726506561714,0.15030292,0.16369811081288554,0.8,0.02
54,0.2,8,50,-0.01360994898746122,-0.1961577031739328,-0.07333314000000002,0.41459541762877206,0.44,0.12
54,0.3,8,50,-0.0067873585063999995,-0.06762929678268073,0.05575757999999999,0.46295522887331825,0.46,0.24
54,0.4,8,50,-0.007822197558142847,-0.09187410533425734,0.11090910000000001,0.43249393651227963,0.66,0.1
54,0.5,8,50,-0.0013905287269714278,-0.1198319036448799,0.08424244,0.23554642878783028,0.54,0.1
54,0.6,8,50,0.0005846954697257152,0.06068903003891553,0.04121212,0.165383841480856,0.48,0.16
54,0.7,8,50,0.0006169296984685725,0.08289945838781268,-0.0060606200000000035,0.13272473762347395,0.48,0.14
54,0.8,8,50,0.0007458615918000003,0.24679741989238643,0.0006060600000000105,0.06747965440175284,0.48,0.16
54,0.9,8,50,0.0011446539202799992,0.3171559884991389,0.012727259999999994,0.07089257952268349,0.5,0.16
54,1.0,8,50,0.0004872462659999999,0.13812407602855836,-0.0151515,0.07798210182150773,0.32,0.18
64,0.1,8,50,0.0003748051910571428,0.023568619569926164,0.11212115999999998,0.18581957299645835,0.8,0.04
64,0.2,8,50,-0.004735308734102858,-0.0601661275447433,-0.006060479999999986,0.4105943937898354,0.52,0.16
64,0.3,8,50,-0.027405806298612247,-0.262241949637412,-0.0406061,0.5143912452361549,0.38,0.12
64,0.4,8,50,-0.0011105509364530608,-0.03244054823398714,0.15272732,0.32197794641143374,0.58,0.16
64,0.5,8,50,0.0003403227765599995,0.09915721232293659,0.029696940000000005,0.07875687250126176,0.58,0.14
64,0.6,8,50,0.000993232773000001,0.33025557020573026,0.007878780000000004,0.06386118732391374,0.52,0.16
64,0.7,8,50,0.0006281728783199998,0.19184959060539541,0.013939380000000008,0.07275038737505114,0.44,0.22
64,0.8,8,50,0.0009351380259000002,0.2624472399672186,-0.010909079999999995,0.07263437647780836,0.4,0.2
64,0.9,8,50,0.0008298178714799993,0.20734891669499975,0.009090900000000008,0.07988148759568767,0.44,0.1
64,1.0,8,50,0.002236835165760001,0.46018019473951577,0.008484840000000002,0.07244837264756192,0.42,0.2
