rho,mu_p,char_height_px,font_name,text,phase_x,phase_y,noise_repeat,qe_total,aperture_width_px,mtf_nyquist,aperture_f50_cpp,ocr_text,cer,char_acc,preview_relpath
0.1,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.085,5.059644,0.959381,1.907975,UACTSBIORTAACLCRLKEE,0.833333,0.166667,point_previews/task000000_mu000004_rho010_n0.png
0.1,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.085,5.059644,0.959381,1.907975,,1.0,0.0,point_previews/task000000_mu000004_rho010_n1.png
0.2,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.17,7.155418,0.919759,1.349142,,1.0,0.0,point_previews/task000000_mu000004_rho020_n0.png
0.2,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.17,7.155418,0.919759,1.349142,CPLSR,0.888889,0.111111,point_previews/task000000_mu000004_rho020_n1.png
0.3,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.255,8.763561,0.881116,1.10157,MEEAMRESUELEPRASANAPROAT5,0.888889,0.111111,point_previews/task000000_mu000004_rho030_n0.png
0.3,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.255,8.763561,0.881116,1.10157,,1.0,0.0,point_previews/task000000_mu000004_rho030_n1.png
0.4,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.34,10.119289,0.843436,0.953987,,1.0,0.0,point_previews/task000000_mu000004_rho040_n0.png
0.4,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.34,10.119289,0.843436,0.953987,SRANAEYRAIGREASTECREYSSHRESCORGM,0.916667,0.083333,point_previews/task000000_mu000004_rho040_n1.png
0.5,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.425,11.313708,0.8067,0.853272,FABAYAESSSAS,0.888889,0.111111,point_previews/task000000_mu000004_rho050_n0.png
0.5,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.425,11.313708,0.8067,0.853272,RNRTRACSIOR,0.916667,0.083333,point_previews/task000000_mu000004_rho050_n1.png
0.6,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.51,12.393547,0.770893,0.778927,HEDMRGTTESEAPET,0.888889,0.111111,point_previews/task000000_mu000004_rho060_n0.png
0.6,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.51,12.393547,0.770893,0.778927,SSRRSASTSP,0.944444,0.055556,point_previews/task000000_mu000004_rho060_n1.png
0.7,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.595,13.38656,0.735998,0.721147,,1.0,0.0,point_previews/task000000_mu000004_rho070_n0.png
0.7,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,1,0.595,13.38656,0.735998,0.721147,SGERLSHSHTREGNEZEES,0.888889,0.111111,point_previews/task000000_mu000004_rho070_n1.png
0.8,4,8,license_plate_bahnschrift.ttf,BFUCAOZJ9Y5KPW0TSHL38D2NGMVRX7Q64IE1,0,0,0,0.68,14.310835,0.701998,0.674571,RELARATBEG,0.916667,0.083333,point_previews/task000000_mu000004_rho080_n0.png
