rho,mu_p,char_height_px,font_name,text,phase_x,phase_y,qe_total,aperture_width_px,mtf_nyquist,aperture_f50_cpp,ocr_text,cer,char_acc
1.0,128,12,arial.ttf,999NG7,15,0,0.85,16.0,0.63662,0.603355,999NG7,0.0,1.0
0.1,16,12,arial.ttf,999NG7,15,15,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,16,12,arial.ttf,999NG7,15,15,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,16,12,arial.ttf,999NG7,15,15,0.255,8.763561,0.881116,1.10157,,1.0,0.0
0.4,16,12,arial.ttf,999NG7,15,15,0.34,10.119289,0.843436,0.953987,QOONEST,1.0,0.0
0.5,16,12,arial.ttf,999NG7,15,15,0.425,11.313708,0.8067,0.853272,OOSNGT,0.666667,0.333333
0.6,16,12,arial.ttf,999NG7,15,15,0.51,12.393547,0.770893,0.778927,SOONG,0.666667,0.333333
0.7,16,12,arial.ttf,999NG7,15,15,0.595,13.38656,0.735998,0.721147,S99ONGT,0.5,0.5
0.8,16,12,arial.ttf,999NG7,15,15,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,16,12,arial.ttf,999NG7,15,15,0.765,15.178933,0.668877,0.635992,OSONGZ,0.666667,0.333333
1.0,16,12,arial.ttf,999NG7,15,15,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,128,12,arial.ttf,999NG7,15,15,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,128,12,arial.ttf,999NG7,15,15,0.17,7.155418,0.919759,1.349142,QSSNG7,0.5,0.5
0.3,128,12,arial.ttf,999NG7,15,15,0.255,8.763561,0.881116,1.10157,SSSNG7,0.5,0.5
0.4,128,12,arial.ttf,999NG7,15,15,0.34,10.119289,0.843436,0.953987,S999NG7,0.166667,0.833333
0.5,128,12,arial.ttf,999NG7,15,15,0.425,11.313708,0.8067,0.853272,S99NG7,0.166667,0.833333
0.6,128,12,arial.ttf,999NG7,15,15,0.51,12.393547,0.770893,0.778927,S99NG7,0.166667,0.833333
0.7,128,12,arial.ttf,999NG7,15,15,0.595,13.38656,0.735998,0.721147,99SNG7,0.166667,0.833333
